Host   Node   Slot  Product  Version   Location
Host   Node   Slot  Product  Version   Location
  197   6717   0        TII  105.35    RICHMOND,VA
  197   6717  FF       I2IS    7.03    RICHMOND,VA
  198   7661  FF       I2IS    7.03    RICHMOND,VA
  198   7661   0        TII  105.35    RICHMOND,VA
  199  11331   0        TII  105.35    RICHMOND,VA
  199  11331  FF       I2IS   11.33    RICHMOND,VA
  200   4253   1       ISCS    6.40    BOISE,ID
  202   2465   1       ISCS    6.40    GLEN ELLYN,IL
  207  10206   4       XCOM  103.01    DORAVILLE,GA
  208   2142  FF       I2IS    7.04    NORRISTOWN,PA
  208   2142   0        TII  105.22    NORRISTOWN,PA
  209  10103   1       ISCS    6.40    ANN ARBOR,MI
  210  11121   1       ISCS    6.40    EL PASO,TX
  210  11120   1       ISCS    6.40    EL PASO,TX
  211   7040   2       XCOM  104.03    BALTIMORE,MD
  212   7040   2       XCOM  104.03    BALTIMORE,MD
  213  12301   1       XCOM  104.03    RALEIGH,NC
  214   6700   1       SNAH    3.03    PITTSBURGH,PA
  215  12253   1       XCOM  104.03    WICHITA,KS
  216  10265   1       CMTI  107.04    PITTSBURGH,PA
  217   7763   4       XCOM  104.03    NEWARK,NJ
  218   4241   4       XCOM  104.03    DORAVILLE,GA
  219   2135  FF       I2IS    7.03    PISCATAWAY,NJ
  219   2135   0        TII  105.22    PISCATAWAY,NJ
  220   4521   3       XCOM  104.03    NEW YORK,NY
  221   6366   1       XCOM  104.03    BLOOMFIELD,CT
  222   7406   2       T2G2  305.22    TOKYO,
  225   6763   1       XCOM  104.03    BOSTON,MA
  226   6015   2       XCOM  104.03    SAN DIEGO,CA
  227  11403   2       XCOM  104.03    COLUMBUS,OH
  228   2216   0        TII  105.22    MEMPHIS,TN
  228   2216  FF       I2IS    7.03    MEMPHIS,TN
  229   5022   1       ACOM    2.03    MEMPHIS,TN
  230   3206   4    UNREPOR  106.03    RESTON,VA
  231   3501   2       XCOM  104.03    NEW YORK,NY
  232   6405   0        TII  105.22    LOS ANGELES,CA
  232   6405  FF       I2IS    7.03    LOS ANGELES,CA
  233   6405   1       ACOM  103.01    LOS ANGELES,CA
  234   5056   4       MSRV  103.03    MEMPHIS,TN
  235   4172  FF       T2G2    0.00    FRANKFURT,
  236   2111   3       XCOM  104.03    NEW YORK,NY
  238   2111   3       XCOM  104.03    NEW YORK,NY
  240   3740  FF       I2IS    7.03    BROOKFIELD,WI
  240   3740   0        TII  105.35    BROOKFIELD,WI
  241   6017   1       XCOM  103.01    SAN FRANCISCO,CA
  242   4647   1       XCOM  104.03    CLEVELAND,OH
  245  12472   2       SDLC    2.04    LONDON,
  248   3010   2       XCOM  200.55    SANTURCE,
  249   3206   4    UNREPOR  106.03    RESTON,VA
  252  11474   1       ACOM    2.03    NEWARK,NJ
  253  11474   1       ACOM    2.03    NEWARK,NJ
  257   4042   1       XCOM  104.03    NEW YORK,NY
  258  11337  FF       I2IS    0.00    BAMBERG,
  259  11751  FF       I2IS    0.00    AUGSBURG,
  261  11767   1       XCOM  300.55    WHITE PLAINS,NY
  263  11042   1       XCOM  300.55    NEW YORK,NY
